page_number,column,ad_type,section_name,layout
100,7,6단통,,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 5, 2], [5, 5, 2, 4], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,7,6단통,,"[[0, 0, 5, 5], [5, 0, 2, 5], [0, 5, 5, 2], [5, 5, 2, 4], [0, 7, 5, 2], [0, 9, 7, 6, ""광고_6단통""]]"
101,7,7단15_홀,,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 4, 3], [0, 11, 4, 2], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15_홀""]]"
100,7,7단15_짝,,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [3, 8, 1, 7], [4, 8, 3, 4], [4, 12, 3, 3], [0, 8, 3, 7, ""광고_7단15_짝""]]"
101,7,7단15_홀,,"[[0, 0, 4, 7], [4, 0, 3, 4], [4, 4, 3, 4], [0, 7, 4, 3], [0, 10, 4, 3], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15_홀""]]"
100,7,7단15_짝,,"[[0, 0, 5, 5], [5, 0, 2, 8], [0, 5, 5, 3], [3, 8, 2, 3], [5, 8, 2, 3], [3, 11, 2, 4], [5, 11, 2, 4], [0, 8, 3, 7, ""광고_7단15_짝""]]"
100,7,7단15_짝,,"[[0, 0, 5, 8], [5, 0, 2, 8], [3, 8, 4, 3], [3, 11, 4, 4], [0, 8, 3, 7, ""광고_7단15_짝""]]"
1,6,5단통,"","[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 3, 4], [3, 6, 1, 4], [4, 6, 2, 4], [0, 10, 6, 5, ""광고_5단통""]]"
1,6,5단통,"","[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 2, 4], [2, 6, 2, 4], [4, 6, 2, 4], [0, 10, 6, 5, ""광고_5단통""]]"
1,7,5단통,"","[[0, 1, 4, 6], [4, 1, 3, 5], [4, 6, 3, 4],  [0, 7, 4, 3], [0, 10, 7, 5, ""광고_5단통""]]"
100,7,7단15_짝,,"[[0, 0, 7, 8], [3, 8, 4, 3], [3, 11, 4, 4], [0, 8, 3, 7, ""광고_7단15_짝""]]"
1,7,7단15,,"[[0, 1, 4, 4], [4, 1, 3, 4], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 2, 5], [2, 8, 2, 5], [0, 13, 4, 2], [4, 8, 3, 7, ""광고_7단15""]]"
1,7,7단15,,"[[0, 1, 4, 4], [4, 1, 3, 4], [0, 5, 4, 4], [4, 5, 3, 3], [0, 9, 4, 3], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
1,7,7단15,,"[[0, 1, 4, 5], [4, 1, 3, 4], [4, 5, 3, 3], [0, 6, 4, 4], [0, 10, 2, 5], [2, 10, 2, 5], [4, 8, 3, 7, ""광고_7단15""]]"
1,7,7단15,,"[[0, 1, 4, 7], [4, 1, 3, 3], [4, 4, 3, 4], [0, 8, 4, 4], [0, 12, 4, 3], [4, 8, 3, 7, ""광고_7단15""]]"
100,7,7단통,,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 7, 7, ""광고_7단통""]]"
101,7,7단통,,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 3], [4, 5, 3, 3], [0, 8, 7, 7, ""광고_7단통""]]"
100,7,7단통,,"[[0, 0, 5, 4], [5, 0, 2, 4], [0, 4, 5, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
101,7,7단통,,"[[0, 0, 5, 4], [5, 0, 2, 4], [0, 4, 5, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
100,7,7단통,,"[[0, 0, 5, 8], [5, 0, 2, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
101,7,7단통,,"[[0, 0, 5, 8], [5, 0, 2, 4], [5, 4, 2, 4], [0, 8, 7, 7, ""광고_7단통""]]"
101,7,8단27_홀,,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 2, 8], [2, 7, 5, 8, ""광고_8단27_홀""]]"
100,7,8단27_짝,,"[[0, 0, 4, 7], [4, 0, 3, 7], [5, 7, 2, 8], [0, 7, 5, 8, ""광고_8단27_짝""]]"
101,7,8단27_홀,,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 2, 8], [2, 7, 5, 8, ""광고_8단27_홀""]]"
100,7,8단27_짝,,"[[0, 0, 5, 7], [5, 0, 2, 7], [5, 7, 2, 8], [0, 7, 5, 8, ""광고_8단27_짝""]]"
100,7,8단통,,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 2], [4, 5, 3, 2], [0, 7, 7, 8, ""광고_8단통""]]"
101,7,8단통,,"[[0, 0, 4, 5], [4, 0, 3, 5], [0, 5, 4, 2], [4, 5, 3, 2], [0, 7, 7, 8, ""광고_8단통""]]"
100,7,8단통,,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 7, 8, ""광고_8단통""]]"
101,7,8단통,,"[[0, 0, 4, 7], [4, 0, 3, 7], [0, 7, 7, 8, ""광고_8단통""]]"
101,7,8단통,,"[[0, 0, 5, 7], [5, 0, 2, 3], [5, 3, 2, 4], [0, 7, 7, 8, ""광고_8단통""]]"
100,7,8단통,,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 7, 8, ""광고_8단통""]]"
101,7,8단통,,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 7, 8, ""광고_8단통""]]"
101,7,9단21_홀,,"[[0, 0, 3, 15], [3, 0, 4, 6], [3, 6, 4, 9, ""광고_9단21_홀""]]"
100,7,9단21_짝,,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 2], [4, 4, 3, 3], [4, 7, 3, 4], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,9단21_홀,,"[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 2], [0, 6, 3, 3], [0, 9, 3, 4], [0, 13, 3, 2], [3, 6, 4, 9, ""광고_9단21_홀""]]"
100,7,8단통,"","[[0, 0, 5, 7], [5, 0, 2, 3], [5, 3, 2, 4], [0, 7, 7, 8, ""광고_8단통""]]"
100,7,9단21_짝,,"[[0, 0, 4, 6], [4, 0, 3, 4], [4, 4, 3, 4], [4, 8, 3, 4], [4, 12, 3, 3], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,9단21_홀,,"[[0, 0, 4, 6], [4, 0, 3, 6], [0, 6, 3, 9], [3, 6, 4, 9, ""광고_9단21_홀""]]"
100,7,9단21_짝,,"[[0, 0, 4, 6], [4, 0, 3, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
100,7,9단21_짝,,"[[0, 0, 4, 6], [4, 0, 3, 6], [4, 6, 3, 9], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,9단21_홀,,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 3, 5], [0, 11, 3, 4], [3, 6, 4, 9, ""광고_9단21_홀""]]"
100,7,9단21_짝,,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,9단21_홀,,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 3, 4], [0, 10, 3, 5], [3, 6, 4, 9, ""광고_9단21_홀""]]"
100,7,9단21_짝,,"[[0, 0, 6, 6], [6, 0, 1, 6], [4, 6, 3, 5], [4, 11, 3, 3], [4, 14, 3, 1], [0, 6, 4, 9, ""광고_9단21_짝""]]"
100,7,9단21_짝,,"[[0, 0, 7, 15], [0, 6, 4, 9, ""광고_9단21_짝""]]"
101,7,9단21_홀,,"[[0, 0, 7, 15], [3, 6, 4, 9, ""광고_9단21_홀""]]"
101,7,9단21_홀,,"[[0, 0, 7, 6], [0, 6, 3, 4], [0, 10, 3, 5], [3, 6, 4, 9, ""광고_9단21_홀""]]"
101,7,9단21_홀,,"[[0, 0, 7, 6], [0, 6, 3, 5], [0, 11, 3, 4], [3, 6, 4, 9, ""광고_9단21_홀""]]"
101,7,9단21_홀,,"[[0, 0, 7, 6], [0, 6, 3, 9], [3, 6, 4, 9, ""광고_9단21_홀""]]"
100,7,9단21_짝,,"[[0, 0, 7, 6], [4, 6, 3, 4], [4, 10, 3, 5], [0, 6, 4, 9, ""광고_9단21_짝""]]"
100,6,광고없음,,"[[0, 0, 2, 3], [2, 0, 2, 3], [4, 0, 2, 3], [0, 3, 2, 3], [2, 3, 2, 3], [4, 3, 2, 3], [0, 6, 2, 3], [2, 6, 2, 3], [4, 6, 2, 3], [0, 9, 2, 3], [2, 9, 2, 3], [4, 9, 2, 3], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
101,6,광고없음,,"[[0, 0, 2, 3], [2, 0, 2, 3], [4, 0, 2, 3], [0, 3, 2, 3], [2, 3, 2, 3], [4, 3, 2, 3], [0, 6, 2, 3], [2, 6, 2, 3], [4, 6, 2, 3], [0, 9, 2, 3], [2, 9, 2, 3], [4, 9, 2, 3], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
100,6,광고없음,,"[[0, 0, 2, 4], [2, 0, 2, 4], [4, 0, 2, 4], [0, 4, 2, 4], [2, 4, 2, 4], [4, 4, 2, 4], [0, 8, 2, 4], [2, 8, 2, 4], [4, 8, 2, 4], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
101,6,광고없음,,"[[0, 0, 2, 4], [2, 0, 2, 4], [4, 0, 2, 4], [0, 4, 2, 4], [2, 4, 2, 4], [4, 4, 2, 4], [0, 8, 2, 4], [2, 8, 2, 4], [4, 8, 2, 4], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
100,6,광고없음,,"[[0, 0, 2, 5], [2, 0, 2, 5], [4, 0, 2, 5], [0, 5, 2, 5], [2, 5, 2, 5], [4, 5, 2, 5], [0, 10, 2, 5], [2, 10, 2, 5], [4, 10, 2, 5]]"
101,6,광고없음,,"[[0, 0, 2, 5], [2, 0, 2, 5], [4, 0, 2, 5], [0, 5, 2, 5], [2, 5, 2, 5], [4, 5, 2, 5], [0, 10, 2, 5], [2, 10, 2, 5], [4, 10, 2, 5]]"
100,6,광고없음,,"[[0, 0, 3, 4], [3, 0, 3, 4], [0, 4, 3, 4], [3, 4, 3, 4], [0, 8, 3, 4], [3, 8, 3, 4], [0, 12, 3, 3], [3, 12, 3, 3]]"
101,6,광고없음,,"[[0, 0, 3, 4], [3, 0, 3, 4], [0, 4, 3, 4], [3, 4, 3, 4], [0, 8, 3, 4], [3, 8, 3, 4], [0, 12, 3, 3], [3, 12, 3, 3]]"
