id,page_number,column,ad_type,layout
141,101,7,9단21_홀,"[[0, 0, 6, 6], [6, 0, 1, 6], [0, 6, 3, 3], [0, 9, 3, 3], [0, 12, 3, 3], [3, 6, 4, 9, ""광고_9단21_홀""]]"
142,100,7,9단21_짝,"[[0, 0, 6, 6], [6, 0, 1, 6], [4, 6, 3, 5], [4, 11, 3, 3], [4, 14, 3, 1], [0, 6, 4, 9, ""광고_9단21_짝""]]"
143,100,7,9단21_짝,"[[0, 0, 7, 15], [0, 6, 4, 9, ""광고_9단21_짝""]]"
144,101,7,9단21_홀,"[[0, 0, 7, 15], [3, 6, 4, 9, ""광고_9단21_홀""]]"
145,101,7,9단21_홀,"[[0, 0, 7, 6], [0, 6, 3, 4], [0, 10, 3, 5], [3, 6, 4, 9, ""광고_9단21_홀""]]"
146,101,7,9단21_홀,"[[0, 0, 7, 6], [0, 6, 3, 5], [0, 11, 3, 4], [3, 6, 4, 9, ""광고_9단21_홀""]]"
147,101,7,9단21_홀,"[[0, 0, 7, 6], [0, 6, 3, 9], [3, 6, 4, 9, ""광고_9단21_홀""]]"
148,100,7,9단21_짝,"[[0, 0, 7, 6], [4, 6, 3, 4], [4, 10, 3, 5], [0, 6, 4, 9, ""광고_9단21_짝""]]"
149,100,7,9단21_홀,"[[0, 0, 7, 6], [4, 6, 3, 5], [4, 11, 3, 4], [0, 6, 4, 9, ""광고_9단21_홀""]]"
150,100,7,9단21_홀,"[[0, 0, 7, 6], [4, 6, 3, 9], [0, 6, 4, 9, ""광고_9단21_홀""]]"
151,100,6,광고없음,"[[0, 0, 2, 3], [2, 0, 2, 3], [4, 0, 2, 3], [0, 3, 2, 3], [2, 3, 2, 3], [4, 3, 2, 3], [0, 6, 2, 3], [2, 6, 2, 3], [4, 6, 2, 3], [0, 9, 2, 3], [2, 9, 2, 3], [4, 9, 2, 3], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
152,101,6,광고없음,"[[0, 0, 2, 3], [2, 0, 2, 3], [4, 0, 2, 3], [0, 3, 2, 3], [2, 3, 2, 3], [4, 3, 2, 3], [0, 6, 2, 3], [2, 6, 2, 3], [4, 6, 2, 3], [0, 9, 2, 3], [2, 9, 2, 3], [4, 9, 2, 3], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
153,100,6,광고없음,"[[0, 0, 2, 4], [2, 0, 2, 4], [4, 0, 2, 4], [0, 4, 2, 4], [2, 4, 2, 4], [4, 4, 2, 4], [0, 8, 2, 4], [2, 8, 2, 4], [4, 8, 2, 4], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
154,101,6,광고없음,"[[0, 0, 2, 4], [2, 0, 2, 4], [4, 0, 2, 4], [0, 4, 2, 4], [2, 4, 2, 4], [4, 4, 2, 4], [0, 8, 2, 4], [2, 8, 2, 4], [4, 8, 2, 4], [0, 12, 2, 3], [2, 12, 2, 3], [4, 12, 2, 3]]"
